# Copyright (C) 1991-2014 Altera Corporation. All rights reserved.
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, the Altera Quartus II License Agreement,
# the Altera MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Altera and sold by Altera or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus II 64-Bit Version 14.0.0 Build 200 06/17/2014 SJ Web Edition
# File: D:\Dropbox\FPGAs\Altera\DE2i\Terasic_CD_Support\DE2i-150_v.2.1.2_SystemCD\Demonstrations\FPGA\DE2i_150_Gsensor\DE2i_150_Gsensor.csv
# Generated on: Thu Oct 16 17:21:06 2014

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
DRAM_ADDR[4],Output,PIN_AE16,4,B4_N2,PIN_AE16,3.3-V LVTTL,,,,
DRAM_ADDR[3],Output,PIN_AH8,3,B3_N1,PIN_AH8,3.3-V LVTTL,,,,
DRAM_ADDR[2],Output,PIN_AG8,3,B3_N1,PIN_AG8,3.3-V LVTTL,,,,
DRAM_ADDR[1],Output,PIN_AJ7,3,B3_N1,PIN_AJ7,3.3-V LVTTL,,,,
DRAM_ADDR[0],Output,PIN_AG7,3,B3_N1,PIN_AG7,3.3-V LVTTL,,,,
DRAM_BA[1],Output,PIN_AG6,3,B3_N2,PIN_AG6,3.3-V LVTTL,,,,
DRAM_BA[0],Output,PIN_AH5,3,B3_N2,PIN_AH5,3.3-V LVTTL,,,,
DRAM_CAS_N,Output,PIN_AJ4,3,B3_N2,PIN_AJ4,3.3-V LVTTL,,,,
DRAM_CKE,Output,PIN_AD6,3,B3_N2,PIN_AD6,3.3-V LVTTL,,,,
DRAM_CLK,Output,PIN_AE6,3,B3_N2,PIN_AE6,3.3-V LVTTL,,,,
DRAM_CS_N,Output,PIN_AG5,3,B3_N2,PIN_AG5,3.3-V LVTTL,,,,
DRAM_DQ[31],Bidir,PIN_AK5,3,B3_N1,PIN_AK5,3.3-V LVTTL,,,,
DRAM_DQ[30],Bidir,PIN_AJ6,3,B3_N2,PIN_AJ6,3.3-V LVTTL,,,,
DRAM_DQ[29],Bidir,PIN_AK6,3,B3_N1,PIN_AK6,3.3-V LVTTL,,,,
DRAM_DQ[28],Bidir,PIN_AH7,3,B3_N1,PIN_AH7,3.3-V LVTTL,,,,
DRAM_DQ[27],Bidir,PIN_AK7,3,B3_N1,PIN_AK7,3.3-V LVTTL,,,,
DRAM_DQ[26],Bidir,PIN_AG10,3,B3_N1,PIN_AG10,3.3-V LVTTL,,,,
DRAM_DQ[25],Bidir,PIN_AK8,3,B3_N1,PIN_AK8,3.3-V LVTTL,,,,
DRAM_DQ[24],Bidir,PIN_AH9,3,B3_N1,PIN_AH9,3.3-V LVTTL,,,,
DRAM_DQ[23],Bidir,PIN_AH14,3,B3_N1,PIN_AH14,3.3-V LVTTL,,,,
DRAM_DQ[22],Bidir,PIN_AG14,3,B3_N1,PIN_AG14,3.3-V LVTTL,,,,
DRAM_DQ[21],Bidir,PIN_AG13,3,B3_N1,PIN_AG13,3.3-V LVTTL,,,,
DRAM_DQ[20],Bidir,PIN_AH13,3,B3_N1,PIN_AH13,3.3-V LVTTL,,,,
DRAM_DQ[19],Bidir,PIN_AG12,3,B3_N1,PIN_AG12,3.3-V LVTTL,,,,
DRAM_DQ[18],Bidir,PIN_AH12,3,B3_N1,PIN_AH12,3.3-V LVTTL,,,,
DRAM_DQ[17],Bidir,PIN_AG11,3,B3_N1,PIN_AG11,3.3-V LVTTL,,,,
DRAM_DQ[16],Bidir,PIN_AH11,3,B3_N1,PIN_AH11,3.3-V LVTTL,,,,
DRAM_DQ[15],Bidir,PIN_AA15,3,B3_N0,PIN_AA15,3.3-V LVTTL,,,,
DRAM_DQ[14],Bidir,PIN_AA12,3,B3_N1,PIN_AA12,3.3-V LVTTL,,,,
DRAM_DQ[13],Bidir,PIN_AB11,3,B3_N1,PIN_AB11,3.3-V LVTTL,,,,
DRAM_DQ[12],Bidir,PIN_AA13,3,B3_N1,PIN_AA13,3.3-V LVTTL,,,,
DRAM_DQ[11],Bidir,PIN_AG9,3,B3_N1,PIN_AG9,3.3-V LVTTL,,,,
DRAM_DQ[10],Bidir,PIN_AF12,3,B3_N1,PIN_AF12,3.3-V LVTTL,,,,
DRAM_DQ[9],Bidir,PIN_AF13,3,B3_N1,PIN_AF13,3.3-V LVTTL,,,,
DRAM_DQ[8],Bidir,PIN_AB13,3,B3_N1,PIN_AB13,3.3-V LVTTL,,,,
DRAM_DQ[7],Bidir,PIN_AF9,3,B3_N2,PIN_AF9,3.3-V LVTTL,,,,
DRAM_DQ[6],Bidir,PIN_AF6,3,B3_N2,PIN_AF6,3.3-V LVTTL,,,,
DRAM_DQ[5],Bidir,PIN_AF7,3,B3_N2,PIN_AF7,3.3-V LVTTL,,,,
DRAM_DQ[4],Bidir,PIN_AE7,3,B3_N2,PIN_AE7,3.3-V LVTTL,,,,
DRAM_DQ[3],Bidir,PIN_AE8,3,B3_N2,PIN_AE8,3.3-V LVTTL,,,,
DRAM_DQ[2],Bidir,PIN_AE9,3,B3_N2,PIN_AE9,3.3-V LVTTL,,,,
DRAM_DQ[1],Bidir,PIN_AD9,3,B3_N2,PIN_AD9,3.3-V LVTTL,,,,
DRAM_DQ[0],Bidir,PIN_AD10,3,B3_N2,PIN_AD10,3.3-V LVTTL,,,,
DRAM_DQM[3],Output,PIN_AH10,3,B3_N1,PIN_AH10,3.3-V LVTTL,,,,
DRAM_DQM[2],Output,PIN_AH15,3,B3_N0,PIN_AH15,3.3-V LVTTL,,,,
DRAM_DQM[1],Output,PIN_AB14,3,B3_N0,PIN_AB14,3.3-V LVTTL,,,,
DRAM_DQM[0],Output,PIN_AF10,3,B3_N2,PIN_AF10,3.3-V LVTTL,,,,
DRAM_RAS_N,Output,PIN_AK4,3,B3_N2,PIN_AK4,3.3-V LVTTL,,,,
DRAM_WE_N,Output,PIN_AK3,3,B3_N2,PIN_AK3,3.3-V LVTTL,,,,
EEP_I2C_SCLK,Output,PIN_AG27,4,B4_N0,PIN_AG27,3.3-V LVTTL,,,,
EEP_I2C_SDAT,Bidir,PIN_AG25,4,B4_N0,PIN_AG25,3.3-V LVTTL,,,,
ENET_GTX_CLK,Output,PIN_A12,8,B8_N0,PIN_A12,2.5 V,,,,
ENET_INT_N,Input,PIN_E16,8,B8_N0,PIN_E16,2.5 V,,,,
ENET_LINK100,Input,PIN_F5,8,B8_N2,PIN_F5,2.5 V,,,,
ENET_MDC,Output,PIN_C16,8,B8_N0,PIN_C16,2.5 V,,,,
ENET_MDIO,Bidir,PIN_C15,8,B8_N0,PIN_C15,2.5 V,,,,
ENET_RST_N,Output,PIN_C14,8,B8_N0,PIN_C14,2.5 V,,,,
ENET_RX_CLK,Input,PIN_L15,8A,B8_N0,PIN_L15,2.5 V,,,,
ENET_RX_COL,Input,PIN_G15,8,B8_N0,PIN_G15,2.5 V,,,,
ENET_RX_CRS,Input,PIN_D6,8,B8_N2,PIN_D6,2.5 V,,,,
ENET_RX_DATA[3],Input,PIN_B7,8,B8_N1,PIN_B7,2.5 V,,,,
ENET_RX_DATA[2],Input,PIN_A5,8,B8_N1,PIN_A5,2.5 V,,,,
ENET_RX_DATA[1],Input,PIN_E13,8,B8_N0,PIN_E13,2.5 V,,,,
ENET_RX_DATA[0],Input,PIN_F15,8,B8_N0,PIN_F15,2.5 V,,,,
ENET_RX_DV,Input,PIN_A8,8,B8_N1,PIN_A8,2.5 V,,,,
ENET_RX_ER,Input,PIN_D11,8,B8_N1,PIN_D11,2.5 V,,,,
ENET_TX_CLK,Input,PIN_F13,8,B8_N0,PIN_F13,2.5 V,,,,
ENET_TX_DATA[3],Output,PIN_D15,8,B8_N0,PIN_D15,2.5 V,,,,
ENET_TX_DATA[2],Output,PIN_C13,8,B8_N0,PIN_C13,2.5 V,,,,
ENET_TX_DATA[1],Output,PIN_E7,8,B8_N1,PIN_E7,2.5 V,,,,
ENET_TX_DATA[0],Output,PIN_B12,8,B8_N0,PIN_B12,2.5 V,,,,
ENET_TX_EN,Output,PIN_D14,8,B8_N0,PIN_D14,2.5 V,,,,
ENET_TX_ER,Output,PIN_D13,8,B8_N0,PIN_D13,2.5 V,,,,
FAN_CTRL,Bidir,PIN_AF28,5,B5_N2,PIN_AF28,2.5 V,,,,
FL_CE_N,Output,PIN_AG19,4,B4_N2,PIN_AG19,3.3-V LVTTL,,,,
FL_OE_N,Output,PIN_AJ19,4,B4_N2,PIN_AJ19,3.3-V LVTTL,,,,
FL_RESET_N,Output,PIN_AG18,4,B4_N2,PIN_AG18,3.3-V LVTTL,,,,
FL_RY,Input,PIN_AF19,4,B4_N2,PIN_AF19,3.3-V LVTTL,,,,
FL_WE_N,Output,PIN_AG17,4,B4_N2,PIN_AG17,3.3-V LVTTL,,,,
FL_WP_N,Output,PIN_AK18,4,B4_N2,PIN_AK18,3.3-V LVTTL,,,,
FS_ADDR[26],Output,PIN_AB16,3,B3_N1,PIN_AB16,3.3-V LVTTL,,,,
FS_ADDR[25],Output,PIN_Y17,4,B4_N2,PIN_Y17,3.3-V LVTTL,,,,
FS_ADDR[24],Output,PIN_AG15,3,B3_N0,PIN_AG15,3.3-V LVTTL,,,,
FS_ADDR[23],Output,PIN_AF15,3,B3_N0,PIN_AF15,3.3-V LVTTL,,,,
FS_ADDR[22],Output,PIN_AA16,3,B3_N1,PIN_AA16,3.3-V LVTTL,,,,
FS_ADDR[21],Output,PIN_AE19,4,B4_N2,PIN_AE19,3.3-V LVTTL,,,,
FS_ADDR[20],Output,PIN_AK20,4,B4_N1,PIN_AK20,3.3-V LVTTL,,,,
FS_ADDR[19],Output,PIN_AG20,4,B4_N1,PIN_AG20,3.3-V LVTTL,,,,
FS_ADDR[18],Output,PIN_AE17,4,B4_N2,PIN_AE17,3.3-V LVTTL,,,,
FS_ADDR[17],Output,PIN_AH17,4,B4_N2,PIN_AH17,3.3-V LVTTL,,,,
FS_ADDR[16],Output,PIN_AB21,4,B4_N0,PIN_AB21,3.3-V LVTTL,,,,
FS_ADDR[15],Output,PIN_AD23,4,B4_N0,PIN_AD23,3.3-V LVTTL,,,,
FS_ADDR[14],Output,PIN_AE24,4,B4_N0,PIN_AE24,3.3-V LVTTL,,,,
FS_ADDR[13],Output,PIN_AD22,4,B4_N1,PIN_AD22,3.3-V LVTTL,,,,
FS_ADDR[12],Output,PIN_AG22,4,B4_N1,PIN_AG22,3.3-V LVTTL,,,,
FS_ADDR[11],Output,PIN_AG21,4,B4_N1,PIN_AG21,3.3-V LVTTL,,,,
FS_ADDR[10],Output,PIN_AH21,4,B4_N1,PIN_AH21,3.3-V LVTTL,,,,
FS_ADDR[9],Output,PIN_AK21,4,B4_N1,PIN_AK21,3.3-V LVTTL,,,,
FS_ADDR[8],Output,PIN_Y20,4,B4_N0,PIN_Y20,3.3-V LVTTL,,,,
FS_ADDR[7],Output,PIN_AK17,4,B4_N2,PIN_AK17,3.3-V LVTTL,,,,
FS_ADDR[6],Output,PIN_AH18,4,B4_N2,PIN_AH18,3.3-V LVTTL,,,,
FS_ADDR[5],Output,PIN_AA18,4,B4_N1,PIN_AA18,3.3-V LVTTL,,,,
FS_ADDR[4],Output,PIN_AJ18,4,B4_N2,PIN_AJ18,3.3-V LVTTL,,,,
FS_ADDR[3],Output,PIN_AK19,4,B4_N2,PIN_AK19,3.3-V LVTTL,,,,
FS_ADDR[2],Output,PIN_AH19,4,B4_N2,PIN_AH19,3.3-V LVTTL,,,,
FS_ADDR[1],Output,PIN_AB22,4,B4_N0,PIN_AB22,3.3-V LVTTL,,,,
FS_DQ[31],Bidir,PIN_AJ9,3,B3_N1,PIN_AJ9,3.3-V LVTTL,,,,
FS_DQ[30],Bidir,PIN_AK10,3,B3_N0,PIN_AK10,3.3-V LVTTL,,,,
FS_DQ[29],Bidir,PIN_AJ12,3,B3_N0,PIN_AJ12,3.3-V LVTTL,,,,
FS_DQ[28],Bidir,PIN_AK13,3,B3_N0,PIN_AK13,3.3-V LVTTL,,,,
FS_DQ[27],Bidir,PIN_AK14,3,B3_N0,PIN_AK14,3.3-V LVTTL,,,,
FS_DQ[26],Bidir,PIN_AJ15,4,B4_N2,PIN_AJ15,3.3-V LVTTL,,,,
FS_DQ[25],Bidir,PIN_AD16,4,B4_N2,PIN_AD16,3.3-V LVTTL,,,,
FS_DQ[24],Bidir,PIN_AG16,4,B4_N2,PIN_AG16,3.3-V LVTTL,,,,
FS_DQ[23],Bidir,PIN_AH16,3,B3_N0,PIN_AH16,3.3-V LVTTL,,,,
FS_DQ[22],Bidir,PIN_AC16,3,B3_N0,PIN_AC16,3.3-V LVTTL,,,,
FS_DQ[21],Bidir,PIN_AK15,4,B4_N2,PIN_AK15,3.3-V LVTTL,,,,
FS_DQ[20],Bidir,PIN_AJ13,3,B3_N0,PIN_AJ13,3.3-V LVTTL,,,,
FS_DQ[19],Bidir,PIN_AK12,3,B3_N0,PIN_AK12,3.3-V LVTTL,,,,
FS_DQ[18],Bidir,PIN_AK11,3,B3_N0,PIN_AK11,3.3-V LVTTL,,,,
FS_DQ[17],Bidir,PIN_AJ10,3,B3_N1,PIN_AJ10,3.3-V LVTTL,,,,
FS_DQ[16],Bidir,PIN_AK9,3,B3_N0,PIN_AK9,3.3-V LVTTL,,,,
FS_DQ[15],Bidir,PIN_AK28,4,B4_N0,PIN_AK28,3.3-V LVTTL,,,,
FS_DQ[14],Bidir,PIN_AE22,4,B4_N1,PIN_AE22,3.3-V LVTTL,,,,
FS_DQ[13],Bidir,PIN_AJ24,4,B4_N1,PIN_AJ24,3.3-V LVTTL,,,,
FS_DQ[12],Bidir,PIN_AH22,4,B4_N1,PIN_AH22,3.3-V LVTTL,,,,
FS_DQ[11],Bidir,PIN_AE21,4,B4_N1,PIN_AE21,3.3-V LVTTL,,,,
FS_DQ[10],Bidir,PIN_AA20,4,B4_N1,PIN_AA20,3.3-V LVTTL,,,,
FS_DQ[9],Bidir,PIN_Y18,4,B4_N1,PIN_Y18,3.3-V LVTTL,,,,
FS_DQ[8],Bidir,PIN_AB17,4,B4_N2,PIN_AB17,3.3-V LVTTL,,,,
FS_DQ[7],Bidir,PIN_AA17,4,B4_N2,PIN_AA17,3.3-V LVTTL,,,,
FS_DQ[6],Bidir,PIN_Y19,4,B4_N1,PIN_Y19,3.3-V LVTTL,,,,
FS_DQ[5],Bidir,PIN_AE20,4,B4_N1,PIN_AE20,3.3-V LVTTL,,,,
FS_DQ[4],Bidir,PIN_AA21,4,B4_N0,PIN_AA21,3.3-V LVTTL,,,,
FS_DQ[3],Bidir,PIN_AH23,4,B4_N1,PIN_AH23,3.3-V LVTTL,,,,
FS_DQ[2],Bidir,PIN_AH24,4,B4_N0,PIN_AH24,3.3-V LVTTL,,,,
FS_DQ[1],Bidir,PIN_AE23,4,B4_N0,PIN_AE23,3.3-V LVTTL,,,,
FS_DQ[0],Bidir,PIN_AK29,4,B4_N0,PIN_AK29,3.3-V LVTTL,,,,
GPIO[35],Bidir,PIN_Y21,4,B4_N0,PIN_Y21,3.3-V LVTTL,,,,
GPIO[34],Bidir,PIN_AG26,4,B4_N0,PIN_AG26,3.3-V LVTTL,,,,
GPIO[33],Bidir,PIN_AG28,4,B4_N0,PIN_AG28,3.3-V LVTTL,,,,
GPIO[32],Bidir,PIN_B30,7,B7_N0,PIN_B30,3.3-V LVTTL,,,,
GPIO[31],Bidir,PIN_A27,7,B7_N0,PIN_A27,3.3-V LVTTL,,,,
GPIO[30],Bidir,PIN_A28,7,B7_N0,PIN_A28,3.3-V LVTTL,,,,
GPIO[29],Bidir,PIN_A19,7,B7_N2,PIN_A19,3.3-V LVTTL,,,,
GPIO[28],Bidir,PIN_A26,7,B7_N0,PIN_A26,3.3-V LVTTL,,,,
GPIO[27],Bidir,PIN_A25,7,B7_N0,PIN_A25,3.3-V LVTTL,,,,
GPIO[26],Bidir,PIN_G23,7,B7_N0,PIN_G23,3.3-V LVTTL,,,,
GPIO[25],Bidir,PIN_G24,7,B7_N0,PIN_G24,3.3-V LVTTL,,,,
GPIO[24],Bidir,PIN_G22,7,B7_N0,PIN_G22,3.3-V LVTTL,,,,
GPIO[23],Bidir,PIN_F22,7,B7_N0,PIN_F22,3.3-V LVTTL,,,,
GPIO[22],Bidir,PIN_G20,7,B7_N1,PIN_G20,3.3-V LVTTL,,,,
GPIO[21],Bidir,PIN_F23,7,B7_N0,PIN_F23,3.3-V LVTTL,,,,
GPIO[20],Bidir,PIN_E21,7,B7_N1,PIN_E21,3.3-V LVTTL,,,,
GPIO[19],Bidir,PIN_F20,7,B7_N1,PIN_F20,3.3-V LVTTL,,,,
GPIO[18],Bidir,PIN_D25,7,B7_N0,PIN_D25,3.3-V LVTTL,,,,
GPIO[17],Bidir,PIN_D28,7,B7_N0,PIN_D28,3.3-V LVTTL,,,,
GPIO[16],Bidir,PIN_C26,7,B7_N0,PIN_C26,3.3-V LVTTL,,,,
GPIO[15],Bidir,PIN_C25,7,B7_N0,PIN_C25,3.3-V LVTTL,,,,
GPIO[14],Bidir,PIN_B28,7,B7_N0,PIN_B28,3.3-V LVTTL,,,,
GPIO[13],Bidir,PIN_D24,7,B7_N0,PIN_D24,3.3-V LVTTL,,,,
GPIO[12],Bidir,PIN_D23,7,B7_N1,PIN_D23,3.3-V LVTTL,,,,
GPIO[11],Bidir,PIN_D21,7,B7_N1,PIN_D21,3.3-V LVTTL,,,,
GPIO[10],Bidir,PIN_D22,7,B7_N1,PIN_D22,3.3-V LVTTL,,,,
GPIO[9],Bidir,PIN_C21,7,B7_N1,PIN_C21,3.3-V LVTTL,,,,
GPIO[8],Bidir,PIN_B21,7,B7_N1,PIN_B21,3.3-V LVTTL,,,,
GPIO[7],Bidir,PIN_K22,7,B7_N0,PIN_K22,3.3-V LVTTL,,,,
GPIO[6],Bidir,PIN_F19,7,B7_N1,PIN_F19,3.3-V LVTTL,,,,
GPIO[5],Bidir,PIN_K21,7,B7_N0,PIN_K21,3.3-V LVTTL,,,,
GPIO[4],Bidir,PIN_D19,7,B7_N2,PIN_D19,3.3-V LVTTL,,,,
GPIO[3],Bidir,PIN_F18,7,B7_N2,PIN_F18,3.3-V LVTTL,,,,
GPIO[2],Bidir,PIN_D18,7,B7_N2,PIN_D18,3.3-V LVTTL,,,,
GPIO[1],Bidir,PIN_F17,7,B7_N1,PIN_F17,3.3-V LVTTL,,,,
GPIO[0],Bidir,PIN_G16,7,B7_N2,PIN_G16,3.3-V LVTTL,,,,
G_SENSOR_INT1,Input,PIN_AC30,5,B5_N1,PIN_AC30,2.5 V,,,,
G_SENSOR_SCLK,Output,PIN_AK27,4,B4_N1,PIN_AK27,3.3-V LVTTL,,,,
G_SENSOR_SDAT,Bidir,PIN_AK26,4,B4_N1,PIN_AK26,3.3-V LVTTL,,,,
HEX0[6],Output,PIN_F14,8,B8_N0,PIN_F14,2.5 V,,,,
HEX0[5],Output,PIN_D16,8,B8_N0,PIN_D16,2.5 V,,,,
HEX0[4],Output,PIN_F16,8,B8_N0,PIN_F16,2.5 V,,,,
HEX0[3],Output,PIN_F11,8,B8_N1,PIN_F11,2.5 V,,,,
HEX0[2],Output,PIN_G11,8,B8_N1,PIN_G11,2.5 V,,,,
HEX0[1],Output,PIN_E12,8,B8_N1,PIN_E12,2.5 V,,,,
HEX0[0],Output,PIN_E15,8,B8_N0,PIN_E15,2.5 V,,,,
HEX1[6],Output,PIN_G10,8,B8_N2,PIN_G10,2.5 V,,,,
HEX1[5],Output,PIN_J9,8,B8_N2,PIN_J9,2.5 V,,,,
HEX1[4],Output,PIN_G12,8,B8_N1,PIN_G12,2.5 V,,,,
HEX1[3],Output,PIN_F12,8,B8_N1,PIN_F12,2.5 V,,,,
HEX1[2],Output,PIN_G13,8,B8_N0,PIN_G13,2.5 V,,,,
HEX1[1],Output,PIN_B13,8,B8_N0,PIN_B13,2.5 V,,,,
HEX1[0],Output,PIN_G14,8,B8_N0,PIN_G14,2.5 V,,,,
HEX2[6],Output,PIN_F10,8,B8_N2,PIN_F10,2.5 V,,,,
HEX2[5],Output,PIN_F4,8,B8_N2,PIN_F4,2.5 V,,,,
HEX2[4],Output,PIN_F6,8,B8_N2,PIN_F6,2.5 V,,,,
HEX2[3],Output,PIN_AG30,5,B5_N2,PIN_AG30,2.5 V,,,,
HEX2[2],Output,PIN_F7,8,B8_N2,PIN_F7,2.5 V,,,,
HEX2[1],Output,PIN_G7,8,B8_N2,PIN_G7,2.5 V,,,,
HEX2[0],Output,PIN_G8,8,B8_N2,PIN_G8,2.5 V,,,,
HEX3[6],Output,PIN_D4,8,B8_N1,PIN_D4,2.5 V,,,,
HEX3[5],Output,PIN_D5,8,B8_N2,PIN_D5,2.5 V,,,,
HEX3[4],Output,PIN_E3,8,B8_N2,PIN_E3,2.5 V,,,,
HEX3[3],Output,PIN_E4,8,B8_N2,PIN_E4,2.5 V,,,,
HEX3[2],Output,PIN_E6,8,B8_N2,PIN_E6,2.5 V,,,,
HEX3[1],Output,PIN_D7,8,B8_N1,PIN_D7,2.5 V,,,,
HEX3[0],Output,PIN_D10,8,B8_N2,PIN_D10,2.5 V,,,,
HEX4[6],Output,PIN_C3,8,B8_N2,PIN_C3,2.5 V,,,,
HEX4[5],Output,PIN_C4,8,B8_N1,PIN_C4,2.5 V,,,,
HEX4[4],Output,PIN_C5,8,B8_N1,PIN_C5,2.5 V,,,,
HEX4[3],Output,PIN_C6,8,B8_N1,PIN_C6,2.5 V,,,,
HEX4[2],Output,PIN_C7,8,B8_N2,PIN_C7,2.5 V,,,,
HEX4[1],Output,PIN_A13,8,B8_N0,PIN_A13,2.5 V,,,,
HEX4[0],Output,PIN_A14,8,B8_N0,PIN_A14,2.5 V,,,,
HEX5[6],Output,PIN_B6,8,B8_N1,PIN_B6,2.5 V,,,,
HEX5[5],Output,PIN_A11,8,B8_N0,PIN_A11,2.5 V,,,,
HEX5[4],Output,PIN_A6,8,B8_N1,PIN_A6,2.5 V,,,,
HEX5[3],Output,PIN_A7,8,B8_N1,PIN_A7,2.5 V,,,,
HEX5[2],Output,PIN_A9,8,B8_N1,PIN_A9,2.5 V,,,,
HEX5[1],Output,PIN_A10,8,B8_N0,PIN_A10,2.5 V,,,,
HEX5[0],Output,PIN_D3,8,B8_N2,PIN_D3,2.5 V,,,,
HEX6[6],Output,PIN_E9,8,B8_N2,PIN_E9,2.5 V,,,,
HEX6[5],Output,PIN_D9,8,B8_N2,PIN_D9,2.5 V,,,,
HEX6[4],Output,PIN_D8,8,B8_N2,PIN_D8,2.5 V,,,,
HEX6[3],Output,PIN_C9,8,B8_N2,PIN_C9,2.5 V,,,,
HEX6[2],Output,PIN_C8,8,B8_N2,PIN_C8,2.5 V,,,,
HEX6[1],Output,PIN_B10,8,B8_N0,PIN_B10,2.5 V,,,,
HEX6[0],Output,PIN_B9,8,B8_N1,PIN_B9,2.5 V,,,,
HEX7[6],Output,PIN_D12,8,B8_N1,PIN_D12,2.5 V,,,,
HEX7[5],Output,PIN_C12,8,B8_N1,PIN_C12,2.5 V,,,,
HEX7[4],Output,PIN_C11,8,B8_N1,PIN_C11,2.5 V,,,,
HEX7[3],Output,PIN_C10,8,B8_N0,PIN_C10,2.5 V,,,,
HEX7[2],Output,PIN_F9,8,B8_N2,PIN_F9,2.5 V,,,,
HEX7[1],Output,PIN_F8,8,B8_N2,PIN_F8,2.5 V,,,,
HEX7[0],Output,PIN_E10,8,B8_N2,PIN_E10,2.5 V,,,,
HSMC_CLKIN0,Input,PIN_K15,8A,B8_N0,PIN_K15,2.5 V,,,,
HSMC_CLKIN_N1,Input,PIN_V30,5,B5_N0,PIN_V30,2.5 V,,,,
HSMC_CLKIN_N2,Input,PIN_T30,6,B6_N2,PIN_T30,2.5 V,,,,
HSMC_CLKIN_P1,Input,PIN_V29,5,B5_N0,PIN_V29,2.5 V,,,,
HSMC_CLKIN_P2,Input,PIN_T29,6,B6_N2,PIN_T29,2.5 V,,,,
HSMC_CLKOUT0,Output,PIN_G6,8,B8_N2,PIN_G6,2.5 V,,,,
HSMC_CLKOUT_N1,Bidir,PIN_AB28,5,B5_N1,PIN_AB28,2.5 V,,,,
HSMC_CLKOUT_N2,Bidir,PIN_Y28,5,B5_N1,PIN_Y28,2.5 V,,,,
HSMC_CLKOUT_P1,Bidir,PIN_AB27,5,B5_N1,PIN_AB27,2.5 V,,,,
HSMC_CLKOUT_P2,Bidir,PIN_AA28,5,B5_N1,PIN_AA28,2.5 V,,,,
HSMC_D[3],Bidir,PIN_E28,6,B6_N0,PIN_E28,2.5 V,,,,
HSMC_D[2],Bidir,PIN_AB26,5,B5_N2,PIN_AB26,2.5 V,,,,
HSMC_D[1],Bidir,PIN_E27,6,B6_N0,PIN_E27,2.5 V,,,,
HSMC_D[0],Bidir,PIN_AC25,5,B5_N2,PIN_AC25,2.5 V,,,,
HSMC_I2C_SCLK,Output,PIN_AD26,5,B5_N2,PIN_AD26,2.5 V,,,,
HSMC_I2C_SDAT,Bidir,PIN_AD25,5,B5_N2,PIN_AD25,2.5 V,,,,
HSMC_RX_D_N[16],Bidir,PIN_AE28,5,B5_N2,PIN_AE28,2.5 V,,,,
